"Date","(Observed) Incoming Shortwave (W/ft2)","(Modeled) Incoming Shortwave (W/ft2)","(Modeled) Net Shortwave (W/ft2)","(Modeled) Incoming Longwave (W/ft2)","(Modeled) Net Longwave (W/ft2)","Date w/o Time","Hour","Forecasted from 0 UTC"
"2023-08-29 03:00:00",,0.00,,,,"2023-08-29","03","n"
"2023-08-29 04:00:00",,0.00,,,,"2023-08-29","04","n"
"2023-08-29 05:00:00",,0.00,,,,"2023-08-29","05","n"
"2023-08-29 06:00:00",,0.00,,,,"2023-08-29","06","n"
"2023-08-29 07:00:00",,0.00,,,,"2023-08-29","07","n"
"2023-08-29 08:00:00",,0.00,,,,"2023-08-29","08","n"
"2023-08-29 09:00:00",,0.00,,,,"2023-08-29","09","n"
"2023-08-29 10:00:00",,0.00,,,,"2023-08-29","10","n"
"2023-08-29 11:00:00",,0.00,,,,"2023-08-29","11","n"
"2023-08-29 12:00:00",,0.00,,,,"2023-08-29","12","n"
"2023-08-29 13:00:00",,9.82,,,,"2023-08-29","13","n"
"2023-08-29 14:00:00",,19.63,,,,"2023-08-29","14","n"
"2023-08-29 15:00:00",,29.45,,,,"2023-08-29","15","n"
"2023-08-29 16:00:00",,47.10,,,,"2023-08-29","16","n"
"2023-08-29 17:00:00",,64.74,,,,"2023-08-29","17","n"
"2023-08-29 18:00:00",,82.40,,,,"2023-08-29","18","n"
"2023-08-29 19:00:00",,84.75,,,,"2023-08-29","19","n"
"2023-08-29 20:00:00",,87.11,,,,"2023-08-29","20","n"
"2023-08-29 21:00:00",,89.46,,,,"2023-08-29","21","n"
"2023-08-29 22:00:00",,74.49,,,,"2023-08-29","22","n"
"2023-08-29 23:00:00",,60.08,,,,"2023-08-29","23","n"
"2023-08-30 00:00:00",,45.67,,,,"2023-08-30","00","n"
"2023-08-30 01:00:00",,30.44,,,,"2023-08-30","01","n"
"2023-08-30 02:00:00",,15.23,,,,"2023-08-30","02","n"
"2023-08-30 03:00:00",,0.00,,,,"2023-08-30","03","n"
"2023-08-30 04:00:00",,0.00,,,,"2023-08-30","04","n"
"2023-08-30 05:00:00",,0.00,,,,"2023-08-30","05","n"
"2023-08-30 06:00:00",,0.00,,,,"2023-08-30","06","n"
"2023-08-30 07:00:00",,0.00,,,,"2023-08-30","07","n"
"2023-08-30 08:00:00",,0.00,,,,"2023-08-30","08","n"
"2023-08-30 09:00:00",,0.00,,,,"2023-08-30","09","n"
"2023-08-30 10:00:00",,0.00,,,,"2023-08-30","10","n"
"2023-08-30 11:00:00",,0.00,,,,"2023-08-30","11","n"
"2023-08-30 12:00:00",,0.00,,,,"2023-08-30","12","n"
"2023-08-30 13:00:00",,9.48,,,,"2023-08-30","13","n"
"2023-08-30 14:00:00",,18.95,,,,"2023-08-30","14","n"
"2023-08-30 15:00:00",,28.43,,,,"2023-08-30","15","n"
"2023-08-30 16:00:00",,46.01,,,,"2023-08-30","16","n"
"2023-08-30 17:00:00",,63.58,,,,"2023-08-30","17","n"
"2023-08-30 18:00:00",,81.16,,,,"2023-08-30","18","n"
"2023-08-30 19:00:00",,83.36,,,,"2023-08-30","19","n"
"2023-08-30 20:00:00",,85.56,,,,"2023-08-30","20","n"
"2023-08-30 21:00:00",,87.77,,,,"2023-08-30","21","n"
"2023-08-30 22:00:00",,72.35,,,,"2023-08-30","22","n"
"2023-08-30 23:00:00",,58.06,,,,"2023-08-30","23","n"
"2023-08-31 00:00:00",,43.78,,,,"2023-08-31","00","n"
"2023-08-31 01:00:00",,29.18,,,,"2023-08-31","01","n"
"2023-08-31 02:00:00",,14.60,,,,"2023-08-31","02","n"
"2023-08-31 03:00:00",,0.00,,,,"2023-08-31","03","n"
"2023-08-31 04:00:00",,0.00,,,,"2023-08-31","04","n"
"2023-08-31 05:00:00",,0.00,,,,"2023-08-31","05","n"
"2023-08-31 06:00:00",,0.00,,,,"2023-08-31","06","n"
"2023-08-31 07:00:00",,0.00,,,,"2023-08-31","07","n"
"2023-08-31 08:00:00",,0.00,,,,"2023-08-31","08","n"
"2023-08-31 09:00:00",,0.00,,,,"2023-08-31","09","n"
"2023-08-31 10:00:00",,0.00,,,,"2023-08-31","10","n"
"2023-08-31 11:00:00",,0.00,,,,"2023-08-31","11","n"
"2023-08-31 12:00:00",,0.00,,,,"2023-08-31","12","n"
"2023-08-31 13:00:00",,9.37,,,,"2023-08-31","13","n"
"2023-08-31 14:00:00",,18.75,,,,"2023-08-31","14","n"
"2023-08-31 15:00:00",,28.12,,,,"2023-08-31","15","n"
"2023-08-31 16:00:00",,45.63,,,,"2023-08-31","16","n"
